V1 V2 TypeOfInteraction
MCM7 FANCM 3_Coexpression_Sample.gr
MCM7 ISG20L2 3_Coexpression_Sample.gr
MCM7 MRE11A 3_Coexpression_Sample.gr
MCM7 NEK2 3_Coexpression_Sample.gr
MCM7 PELP1 3_Coexpression_Sample.gr
MCM7 PRPF3 3_Coexpression_Sample.gr
MCM7 RRP1B 3_Coexpression_Sample.gr
MCM7 SNRNP200 3_Coexpression_Sample.gr
MCM7 SYNCRIP 3_Coexpression_Sample.gr
MCM7 NCBP2 3_Coexpression_Sample.gr
MCM7 SND1 3_Coexpression_Sample.gr
MCM7 MBD3 3_Coexpression_Sample.gr
MCM7 ACD 3_Coexpression_Sample.gr
PLSCR4 UBE2T 3_Coexpression_Sample.gr
PLSCR4 CCNB2 3_Coexpression_Sample.gr
PLSCR4 ECE2 3_Coexpression_Sample.gr
PLSCR4 RRP1B 3_Coexpression_Sample.gr
PLSCR4 SYNCRIP 3_Coexpression_Sample.gr
PLSCR4 SSPN 3_Coexpression_Sample.gr
PLSCR4 SFRP1 3_Coexpression_Sample.gr
UBE2T CCNB2 3_Coexpression_Sample.gr
UBE2T FANCM 3_Coexpression_Sample.gr
UBE2T ISG20L2 3_Coexpression_Sample.gr
UBE2T MRE11A 3_Coexpression_Sample.gr
UBE2T NEK2 3_Coexpression_Sample.gr
UBE2T PELP1 3_Coexpression_Sample.gr
UBE2T PRPF3 3_Coexpression_Sample.gr
UBE2T RRP1B 3_Coexpression_Sample.gr
UBE2T SNRNP200 3_Coexpression_Sample.gr
UBE2T SYNCRIP 3_Coexpression_Sample.gr
UBE2T MBD3 3_Coexpression_Sample.gr
UBE2T ACD 3_Coexpression_Sample.gr
CCNB2 ECE2 3_Coexpression_Sample.gr
CCNB2 FANCM 3_Coexpression_Sample.gr
CCNB2 ISG20L2 3_Coexpression_Sample.gr
CCNB2 MRE11A 3_Coexpression_Sample.gr
CCNB2 NEK2 3_Coexpression_Sample.gr
CCNB2 PELP1 3_Coexpression_Sample.gr
CCNB2 PRPF3 3_Coexpression_Sample.gr
CCNB2 RRP1B 3_Coexpression_Sample.gr
CCNB2 SNRNP200 3_Coexpression_Sample.gr
CCNB2 SYNCRIP 3_Coexpression_Sample.gr
CCNB2 MBD3 3_Coexpression_Sample.gr
CCNB2 ACD 3_Coexpression_Sample.gr
ECE2 ISG20L2 3_Coexpression_Sample.gr
ECE2 SSPN 3_Coexpression_Sample.gr
FANCM ISG20L2 3_Coexpression_Sample.gr
FANCM MRE11A 3_Coexpression_Sample.gr
FANCM NEK2 3_Coexpression_Sample.gr
FANCM PELP1 3_Coexpression_Sample.gr
FANCM PRPF3 3_Coexpression_Sample.gr
FANCM RRP1B 3_Coexpression_Sample.gr
FANCM SNRNP200 3_Coexpression_Sample.gr
FANCM SYNCRIP 3_Coexpression_Sample.gr
FANCM ACD 3_Coexpression_Sample.gr
ISG20L2 NEK2 3_Coexpression_Sample.gr
ISG20L2 PELP1 3_Coexpression_Sample.gr
ISG20L2 PRPF3 3_Coexpression_Sample.gr
ISG20L2 RRP1B 3_Coexpression_Sample.gr
ISG20L2 SNRNP200 3_Coexpression_Sample.gr
ISG20L2 SYNCRIP 3_Coexpression_Sample.gr
ISG20L2 NCBP2 3_Coexpression_Sample.gr
MRE11A SNRNP200 3_Coexpression_Sample.gr
MRE11A SYNCRIP 3_Coexpression_Sample.gr
NEK2 PELP1 3_Coexpression_Sample.gr
NEK2 RRP1B 3_Coexpression_Sample.gr
NEK2 SNRNP200 3_Coexpression_Sample.gr
NEK2 SYNCRIP 3_Coexpression_Sample.gr
NEK2 MBD3 3_Coexpression_Sample.gr
PELP1 RRP1B 3_Coexpression_Sample.gr
PELP1 SNRNP200 3_Coexpression_Sample.gr
PELP1 SYNCRIP 3_Coexpression_Sample.gr
PELP1 MBD3 3_Coexpression_Sample.gr
PELP1 ACD 3_Coexpression_Sample.gr
PRPF3 RRP1B 3_Coexpression_Sample.gr
PRPF3 SNRNP200 3_Coexpression_Sample.gr
PRPF3 SYNCRIP 3_Coexpression_Sample.gr
PRPF3 ACD 3_Coexpression_Sample.gr
RRP1B SNRNP200 3_Coexpression_Sample.gr
RRP1B SYNCRIP 3_Coexpression_Sample.gr
RRP1B NCBP2 3_Coexpression_Sample.gr
RRP1B SND1 3_Coexpression_Sample.gr
RRP1B MBD3 3_Coexpression_Sample.gr
RRP1B ACD 3_Coexpression_Sample.gr
RRP1B RPS7 3_Coexpression_Sample.gr
SNRNP200 SYNCRIP 3_Coexpression_Sample.gr
SNRNP200 NCBP2 3_Coexpression_Sample.gr
SNRNP200 SND1 3_Coexpression_Sample.gr
SNRNP200 MBD3 3_Coexpression_Sample.gr
SNRNP200 ACD 3_Coexpression_Sample.gr
SYNCRIP NCBP2 3_Coexpression_Sample.gr
SYNCRIP MBD3 3_Coexpression_Sample.gr
MBD3 ACD 3_Coexpression_Sample.gr
SSPN SFRP1 3_Coexpression_Sample.gr
RPL19 RPS7 3_Coexpression_Sample.gr
RPL19 RPL10 3_Coexpression_Sample.gr
