gene,gene_id,logFC,logCPM,F,PValue,FDR
PLD5,ENSG00000180287,-0.289924914323303,0.704098993573599,0.740932821475023,0.39708469526212,0.619033614342081
OAZ2,ENSG00000180304,-0.00919803966934061,6.10673187823179,0.0272836980205204,0.870057839151457,0.934764724311663
CCDC43,ENSG00000180329,-0.000324465700113075,6.1362153502851,2.52626176431002e-05,0.996027346901845,0.998322626662393
KCTD4,ENSG00000180332,0.141481320538051,1.29439280042537,0.124631418734986,0.726898849299339,0.858252617885125
C17orf104,ENSG00000180336,-0.0389014761408889,2.06455443136435,0.036580698548439,0.84977932525675,0.926742564744177
FZD2,ENSG00000180340,0.444490745152454,4.69741446846238,19.1108271920496,0.000170384904266237,0.00623182787353762
TIGD2,ENSG00000180346,-0.0971476676699452,5.08090714106544,1.86463355361883,0.183572327496954,0.398132774645514
MTURN,ENSG00000180354,-0.140489935344089,7.5612433274609,1.51155919378405,0.229707563235291,0.453915006771308
ZNF609,ENSG00000180357,-0.0175241694824399,6.4777101629016,0.0907410270403834,0.765588561876266,0.881112453602391
PAK2,ENSG00000180370,-0.0249509860722324,6.26615971750712,0.079270873253686,0.78047517353284,0.889783718310003
CCDC66,ENSG00000180376,-0.202859560043125,4.59898258082929,8.28873112895598,0.00779437558373528,0.0614575630911572
EMC3_AS1,ENSG00000180385,-0.0298212038813326,1.96849212020479,0.0436794024102644,0.836049677684471,0.920094882238678
ATP5EP2,ENSG00000180389,0.301094563862452,0.906269121056403,2.7425699371759,0.232406098914538,0.457002853107486
MCFD2,ENSG00000180398,0.433396371954158,8.59061005726406,13.4147943099644,0.00109577102569431,0.019170488476268
HARBI1,ENSG00000180423,0.12092137297278,2.85593417697304,1.93051838977727,0.176268196094566,0.389510677522548
C11orf71,ENSG00000180425,-0.11772116639263,2.62550258048471,0.971515052275796,0.333218238904828,0.563180530918008
GAS1,ENSG00000180447,-0.616249090877687,8.60007816672502,16.3899005926195,0.000402179386821831,0.0107691728321526
HMHA1,ENSG00000180448,-0.040284878620234,2.72489161857568,0.107354085729689,0.745751678852937,0.869537469979066
ZNF571,ENSG00000180479,0.0981909355902963,3.00429415149892,1.12718322369998,0.297958607194081,0.52508234834882
GLIPR1L2,ENSG00000180481,-0.559375177293672,0.651470105008257,5.46993400564038,0.0271503073690399,0.128111204943072
FAM73A,ENSG00000180488,0.027125869267608,6.12114995581047,0.121502087884476,0.730165582904687,0.860775154242771
PRR26,ENSG00000180525,-1.09370744015816,1.03190622201616,4.83615606423254,0.0393146024242375,0.159170563104239
NRIP1,ENSG00000180530,-0.116694417919712,7.77408151411622,2.50597571385485,0.125279810088937,0.317250666209482
RNF182,ENSG00000180537,-0.64863298247182,3.11868482164942,11.593036734373,0.00212066821920926,0.0284337206067405
TSPYL5,ENSG00000180543,2.64712102780375,3.0587998018587,26.5637798049795,2.40702639058788e-05,0.00185875405383279
HIST1H2AC,ENSG00000180573,0.129493411514144,8.32768448236868,2.81979207150131,0.104864554753347,0.286031403329765
