gene_id,gene,logFC,logCPM,PValue,FDR
ENSG00000076770,MBNL3,0.103274445,0.43400028,0.654445048,0.965118991
ENSG00000076924,XAB2,0.175861162,4.584979558,0.086455275,0.706454066
ENSG00000076928,ARHGEF1,0.130245379,4.569434111,0.202408266,0.813509693
ENSG00000076944,STXBP2,-0.173860841,-0.543565232,0.566659063,0.946211082
ENSG00000076984,MAP2K7,0.020827509,5.5554481,0.83706621,0.989810132
ENSG00000077009,NMRK2,-0.01397511,8.023070524,0.963411077,1
ENSG00000077044,DGKD,0.205467793,7.069637085,0.356647313,0.899481605
ENSG00000077063,CTTNBP2,0.103872342,-1.142015196,0.760584897,0.981224437
ENSG00000077092,RARB,-0.246600018,1.332082814,0.226064161,0.832704059
ENSG00000077097,TOP2B,-0.091949379,6.293433918,0.28214369,0.863872681
ENSG00000077147,TM9SF3,-0.068565356,5.486533113,0.469619869,0.926110662
ENSG00000077150,NFKB2,0.340439526,3.734749808,0.102127004,0.726621737
ENSG00000077152,UBE2T,0.184031328,2.462382286,0.250325022,0.847615289
ENSG00000077157,PPP1R12B,-0.000125937,8.456730243,0.999288665,1
ENSG00000077232,DNAJC10,-0.022570507,4.49511924,0.820689496,0.988237555
ENSG00000077235,GTF3C1,-0.097467666,6.312625916,0.399215028,0.910021128
ENSG00000077238,IL4R,-0.245187677,2.128895635,0.323420088,0.885700282
ENSG00000077254,USP33,-0.097316009,4.486675893,0.282708339,0.86455255
ENSG00000077264,PAK3,-0.008653415,-1.98965766,1,1
ENSG00000077274,CAPN6,0.021822414,2.311680669,0.943804637,1
ENSG00000077312,SNRPA,0.147741253,4.024283718,0.187739813,0.803681996
ENSG00000077348,EXOSC5,0.222518016,3.374893,0.156390366,0.777967697
ENSG00000077380,DYNC1I2,0.089078294,5.148077231,0.354860312,0.899481605
ENSG00000077420,APBB1IP,0.148849601,-0.658509653,0.680311332,0.970610802
ENSG00000077454,LRCH4,0.168141393,4.929505662,0.078763264,0.694319885
ENSG00000077458,FAM76B,-0.158025693,2.699684675,0.248918513,0.84727547
ENSG00000077463,SIRT6,0.153873359,2.199591782,0.184514402,0.800045524
ENSG00000077514,POLD3,-0.069552016,2.051033116,0.574385171,0.94790268
ENSG00000077522,ACTN2,0.331897232,12.42501006,0.072014121,0.687416792
ENSG00000077549,CAPZB,-0.081358562,7.105833433,0.296959101,0.872290272
ENSG00000077585,GPR137B,0.131669218,-0.684063738,0.636432674,0.95916044
ENSG00000077616,NAALAD2,0.082244674,2.855021094,0.629617181,0.956824027
ENSG00000077684,JADE1,-0.156058001,3.840774515,0.31236942,0.879894233
ENSG00000077713,SLC25A43,0.013950415,0.80714994,0.940477758,1
ENSG00000077721,UBE2A,0.074349878,5.431164221,0.430230088,0.91921351
ENSG00000077782,FGFR1,0.150226291,4.946878237,0.36054799,0.899481605
ENSG00000077809,NA,0.013780024,6.53018408,0.878242887,0.992549189
ENSG00000077942,FBLN1,0.283025607,4.440646153,0.266323113,0.856387441
ENSG00000077943,ITGA8,-0.661720054,2.142479888,0.046821165,0.638465291
ENSG00000077984,CST7,0.082330576,-1.725006382,0.818873666,0.988237555
ENSG00000078018,MAP2,-0.243900885,1.421627877,0.210731349,0.820546664
ENSG00000078043,PIAS2,-0.116657012,4.97161355,0.167609914,0.791000964
ENSG00000078053,AMPH,0.080979538,0.877462917,0.750734052,0.980138247
ENSG00000078061,ARAF,-0.02405279,6.788417171,0.798551501,0.987535469
ENSG00000078070,MCCC1,-0.151319633,4.429567433,0.22993994,0.834060625
ENSG00000078098,FAP,0.147332018,2.124451028,0.523539853,0.938420771
ENSG00000078114,NEBL,-0.252754317,0.735898065,0.188995751,0.803897252
ENSG00000078124,ACER3,-0.170249912,0.916535349,0.268535881,0.857555289
ENSG00000078140,UBE2K,-0.087681008,5.274935342,0.294728663,0.871396186
ENSG00000078142,PIK3C3,0.003902813,4.145860043,0.966986087,1
ENSG00000078177,N4BP2,-0.226247375,0.837431318,0.425329318,0.916805851
ENSG00000078237,TIGAR,-0.26448263,2.269275275,0.249595827,0.84727547
ENSG00000078246,TULP3,-0.121594062,2.964461157,0.329305288,0.887569679
ENSG00000078269,SYNJ2,-0.294028147,3.121709805,0.211053589,0.820564844
ENSG00000078295,ADCY2,-0.168844002,7.039629626,0.222953584,0.83040014
ENSG00000078304,PPP2R5C,-0.050215856,5.817222363,0.556976437,0.944688954
ENSG00000078319,PMS2P1,-0.15753814,2.666281591,0.18658854,0.802251321
ENSG00000078328,RBFOX1,-0.190609881,6.800536571,0.120178659,0.745417538
ENSG00000078369,GNB1,-0.001238552,5.638798744,0.990955444,1
ENSG00000078399,HOXA9,-0.218724614,3.580031939,0.047173683,0.638881401
ENSG00000078401,EDN1,-0.382552014,0.580182938,0.243568989,0.845410472
ENSG00000078403,MLLT10,-0.09606106,4.859293574,0.451595973,0.923486434
ENSG00000078487,ZCWPW1,-0.106721251,1.884996659,0.40636644,0.911718998
ENSG00000078549,ADCYAP1R1,-0.943644081,0.622593675,0.002795891,0.330864036
ENSG00000078596,ITM2A,-0.000446704,4.112021053,0.998844832,1
ENSG00000078618,NRDC,-0.007862299,8.126114778,0.94568216,1
ENSG00000078668,VDAC3,-0.031967853,8.237740814,0.793001349,0.986726435
ENSG00000078674,PCM1,-0.101346029,7.420815138,0.32242417,0.884722656
ENSG00000078687,TNRC6C,-0.301750961,4.598962171,0.025376152,0.580133284
ENSG00000078699,CBFA2T2,-0.163946642,4.448810657,0.091056408,0.713877348
ENSG00000078725,BRINP1,-0.710668774,-1.841032931,0.144519231,0.764714488
ENSG00000078747,ITCH,-0.145013143,4.74082188,0.141362852,0.762071891
ENSG00000078795,PKD2L2,0.119787368,1.335549097,0.494336455,0.931507955
ENSG00000078804,TP53INP2,0.080563914,6.493805626,0.60636534,0.955535892
ENSG00000078808,SDF4,0.065837557,5.818908725,0.38465029,0.906368127
ENSG00000078814,MYH7B,-0.178335816,8.651152527,0.423394677,0.915748787
ENSG00000078900,TP73,0.140132353,-0.411231039,0.482785463,0.930093408
ENSG00000078902,TOLLIP,0.026764875,5.307668962,0.775295136,0.983997339
ENSG00000078967,UBE2D4,-0.080290741,6.208886464,0.515432775,0.936468863
ENSG00000079102,RUNX1T1,0.074030389,2.677177999,0.629426212,0.956824027
ENSG00000079112,CDH17,-0.251041825,-0.507738726,0.586474985,0.950477282
ENSG00000079134,THOC1,0.01636505,3.296585836,0.859558024,0.991761005
ENSG00000079150,FKBP7,0.20173272,1.441721595,0.153583421,0.775153868
ENSG00000079156,OSBPL6,-0.07929177,5.30750574,0.711880691,0.976368147
ENSG00000079215,SLC1A3,-0.028742837,4.300591749,0.927869996,0.99973351
ENSG00000079246,XRCC5,-0.002832437,6.799933437,0.972897726,1
ENSG00000079257,LXN,-0.294522507,2.280762809,0.079999706,0.698160884
ENSG00000079263,SP140,-0.075277272,-0.823557316,0.744184447,0.979370225
ENSG00000079277,MKNK1,0.073013103,4.517451876,0.507246484,0.933335602
ENSG00000079308,TNS1,-0.131997606,8.672933793,0.431967598,0.91921351
ENSG00000079313,REXO1,0.077066899,4.393843998,0.366111831,0.901362138
ENSG00000079332,SAR1A,-0.032952876,5.667648948,0.68281297,0.970902
ENSG00000079335,CDC14A,-0.320881793,0.841935928,0.054526309,0.651246847
ENSG00000079337,RAPGEF3,0.076576086,4.779964798,0.701181476,0.97311582
ENSG00000079385,CEACAM1,0.056117265,1.218716839,0.831278233,0.989745354
ENSG00000079387,SENP1,-0.142369495,2.441533618,0.224883379,0.83124992
ENSG00000079393,DUSP13,0.073182782,7.736428621,0.54553828,0.944688954
ENSG00000079432,CIC,0.017487835,5.533880516,0.86591516,0.9919872
ENSG00000079435,LIPE,0.432443201,3.328116736,0.140735428,0.762071891
ENSG00000079459,FDFT1,-0.087704001,6.815934087,0.485083959,0.930093408
ENSG00000079462,PAFAH1B3,-0.193154789,1.634393637,0.460244605,0.925784113
ENSG00000079482,OPHN1,-0.047383846,3.902372961,0.746679138,0.979370225
ENSG00000079616,KIF22,-0.13615388,4.110457498,0.35568002,0.899481605
ENSG00000079691,CARMIL1,0.380004685,-0.734753581,0.221984274,0.829874756
ENSG00000079739,PGM1,-0.299427317,9.717841199,0.171997415,0.795998188
ENSG00000079785,DDX1,0.008758197,6.828395249,0.916247423,0.997817241
ENSG00000079805,DNM2,-0.084002899,6.669802076,0.363270168,0.899481605
ENSG00000079819,EPB41L2,-0.125310623,5.227530383,0.362951262,0.899481605
ENSG00000079841,RIMS1,-0.321650068,-0.711592919,0.579367268,0.949610237
ENSG00000079931,MOXD1,0.455114867,-1.896946852,0.249969864,0.84727547
ENSG00000079950,STX7,-0.061361712,4.447465454,0.566165318,0.946078919
ENSG00000079974,RABL2B,0.079302956,1.760233888,0.522443883,0.938420771
ENSG00000079999,KEAP1,0.01718711,6.902105629,0.872222945,0.992229803
ENSG00000080007,DDX43,-0.512885077,-1.926013564,0.239818104,0.841051319
ENSG00000080166,DCT,0.110808275,-0.359368946,0.665387867,0.967109258
ENSG00000080189,SLC35C2,0.071554799,4.231322577,0.356212888,0.899481605
