"gene","nodescore"
"PHLDB1",0.47849833597012
"PRDM11",0.363950967132342
"SNAI2",0.333795923317859
"ZRANB1",0.521275840208834
"NCDN",0.157773910992438
"ADGRA2",0.518447326071227
"ZFP64",0.433326830188161
"MNAT1",0.0938357513652554
"SAMD4A",0.432550007332508
"MRE11A",0.55467086906982
"SERPINB1",0.428704349821489
"SPAST",0.202353896803719
"OSBPL5",0.331338536977587
"AQR",0.300610162907894
"CPS1",0.421439387867275
"FHL1",0.303947351879602
"RTFDC1",0.497302060722257
"SLC45A4",0.315295541554606
"RNF10",0.378887439368628
"ZNF839",0.297771580128496
"ZDHHC6",0.465795831203965
"GRAMD1B",0.346364892590308
"RNH1",0.295177077547256
"NDUFS1",0.261511006933865
"RB1CC1",0.449924376971797
"ERP44",0.441369446415865
"ALAS1",0.4758202838269
"BIRC3",0.472068741514619
"AKAP11",0.27822441288258
"GLRX2",0.420827486474642
"SNAPC1",0.471423820816963
"DERA",0.514998293488935
"STRAP",0.453827080836732
"ABCC2",0.688678560455907
"PLEKHO1",0.468169595381971
"GCLM",0.204801675358712
"UBR2",0.488601208079283
"EHD2",0.372778370249684
"DEPDC1",0.343860115359303
"CCDC28A",0.344913426475752
"RRAGD",0.593503376258224
"HSF2",0.62788481379113
"PHF20",0.506662235520737
"HSD17B6",0.60955170299452
"NR1H3",0.257312289021461
"TYMP",0.185033910730612
"NCAPH2",0.423778482958816
"TOMM34",0.730516265635987
"SEC63",0.346401248320179
"KPNA6",0.445144915040353
"VIM",0.246874900405881
"RTEL1_TNFRSF6B",0.358693134726429
"FAS",0.285588793457328
"RNASET2",0.106865367214224
"CD44",0.312670980839457
"KCNG1",0.412572260465427
"AGPAT4",0.613924002273669
"BTN3A1",0.411537284430556
"MIPEP",0.358901033155611
"PRKCH",0.575294041589581
"IFNGR1",0.232362285280098
"B4GALT7",0.585308022796938
"VRK2",0.293503587996758
"TNFRSF1B",0.350302821115259
"VEZT",0.241416365390197
"BRD9",0.484861860455026
"SNX1",0.398977485473836
"TBPL1",0.0556910960317171
"ARNTL2",0.395825095379125
"BCLAF1",0.251615990532809
"SLC39A9",0.546175532774119
"ANK1",0.306651418965334
"TFB1M",0.611788935109233
"RABEP1",0.379324612394533
"HMGB3",0.417447801666901
"NUP160",0.493572511138111
"BAK1",0.348343731655735
"MUSK",0.742650177034667
"IKZF2",0.261361835764601
"GRN",0.411631387581581
"FAM13B",0.431422811149824
"ARHGAP31",0.637104901386126
"CENPQ",0.212462264899958
"SARS",0.52479656481023
"RANBP3",0.376007207611905
"ARID4A",0.47888926952796
"TSSC1",0.646842969033715
"PNPLA6",0.255831593312078
"IFT88",0.238136451992836
"ALG1",0.554099158670282
"ZCCHC8",0.477228688287113
"ABCF2",0.494394103879343
"CHPF2",0.629940237510218
"LRRC7",0.274648062730636
"FUT8",0.264211630321896
"UBA6",0.521719962651753
"GAB2",0.5516031562364
"ATP6V0A1",0.153851748834452
"PIAS1",0.460098305106082
"SLC4A7",0.31068716143315
"MAP2K3",0.367554298549052
"TMSB10",0.511672545155808
"ASTE1",0.628078099227726
"RNF19A",0.56055511562797
"PEX3",0.414278610930482
"GABARAPL2",0.386305923302897
"SH3YL1",0.405233416693496
"FAM136A",0.40818844974507
"VCL",0.414311033555619
"DEPDC1B",0.298697561296596
"DAPK2",0.210506238204779
"NSMAF",0.608580292722722
"ADSS",0.293538858912963
"TIMP2",0.368040087999675
"RFC1",0.416193517212048
"TBC1D23",0.489301887934721
"CUL3",0.429486479826716
"MYOM2",0.334308106560265
"CYP46A1",0.595649938364935
"ZZZ3",0.400506443388487
"USP2",0.481607564768133
"TUBG2",0.242702806980113
"RPL26L1",0.443643828515423
"FLT4",0.591742606607153
"NSUN2",0.485986664509952
"FBXO42",0.571076692779496
"MFAP3",0.355224836578852
"MRI1",0.0717177437929171
"METTL1",0.337644339691707
"HOXC8",0.641427686554299
"AGA",0.350273086556226
"PI4K2B",0.543551016817368
"BOD1L1",0.314267097837532
"MAT2B",0.37758675230172
"EDC4",0.316619233799408
"TRIO",0.590718497142157
"VCAN",0.376315828627979
"CLEC16A",0.485355887240154
"MSR1",0.580324103588452
"SKIV2L2",0.48742424089907
"DNAH5",0.454302060774717
"ZFYVE16",0.451019024769115
"FAM65A",0.452185070954403
"RAI14",0.784239710367942
"PNKP",0.449514968452218
"PHLPP2",0.470177881234133
"SPDL1",0.450690388404245
"STAU2",0.330975742438871
"PQLC2",0.364556124787083
"CTNS",0.284789128819254
"PHF23",0.638099078710743
"INPP4A",0.46809357812559
"RAB27B",0.315435451669653
"PSMA4",0.353418688185387
"LSG1",0.430140057276788
"PARP3",0.399972377916417
"TNC",0.41161882690715
"THAP3",0.402884402397631
"FAM65C",0.409731036813941
"TDP1",0.431751558683754
"AIFM2",0.395506429299002
"SPATA7",0.55378869876967
"MED17",0.32962090109951
"RETSAT",0.190194206696696
"CAPG",0.481336170601993
"AP2S1",0.530271181463539
"USH2A",0.423094346463799
"TG",0.478047185695054
"DCUN1D1",0.341904601270707
"JADE2",0.344018480946279
"TRIT1",0.360328878051079
"CUL7",0.393907932141577
"CTNNA1",0.284564636483312
"PHKA2",0.48744622734946
"CNTLN",0.492309199181327
"HSPA5",0.594181773474204
"GEMIN8",0.425741244769668
"OFD1",0.342839951004153
"GPM6B",0.43300355595776
"WDR37",0.464585341926904
"YTHDC2",0.456488442537513
"CTPS2",0.462335331925392
"ATP6V1H",0.382120420387659
"POLR2B",0.153851748834452
"FAM214A",0.611010616189936
"TPR",0.293742357359361
"KIAA0556",0.3264130345505
"DTNBP1",0.32755871735089
"C12orf4",0.678771479644417
"SCML1",0.61178386971786
"WWC3",0.564689740766198
"ARHGAP6",0.59665427274146
"MAP4",0.467139575663182
"GOPC",0.352664975367661
"ROS1",0.647050844943124
"USP28",0.398540650367452
"HDAC9",0.246051034935643
"TSPAN17",0.613573646099477
"NOP16",0.307470065064857
"CC2D2A",0.230362298620234
"RRM2B",0.317446050257115
"ZNF800",0.260725106222043
"SNX29",0.275657709547218
"LMO3",0.454347252671408
"MRPS10",0.378320800128985
"RSF1",0.280462723142983
"VPS13D",0.463027092556101
"CELF2",0.251615990532809
"FAM120A",0.18787910086648
"R3HDM1",0.39325073460347
"KITLG",0.436695744856879
"ERCC8",0.325245300414927
"ADAMTS6",0.475678931303276
"H6PD",0.256173991399028
"VAMP3",0.405326067907665
