gene,logFC,FDR
HIPK1_AS1,-0.433168458926194,0.210572403817473
C1orf226,0.38694470143336,0.270309853684493
SPTBN5,-0.358922435074511,0.242651508783289
FAM65B,-0.940529892915062,0.506793519479797
AC068831.6,-0.550661530913696,0.127866571125064
PLCL1,-1.264964305695,0.0928844766862662
SPATA2,0.0971958838037672,0.631338556752314
STARD3NL,0.292918861302491,0.00179339565436536
VPS18,0.254654355442402,0.00351977839767664
LRRFIP2,-0.169243203290841,0.128427975647441
NOV,-0.0842775561902521,0.894186819093754
PARP3,0.114695673452363,0.519459757594471
PMVK,0.151042815293588,0.319087169232514
TFPT,0.33628656487412,0.0163194359098166
STK4,0.281295092895085,0.00378416829585747
CTBP1,0.0539753013019469,0.569670067507417
EML6,-0.911487257806613,0.0177271996266645
CHADL,-0.96857763618782,0.366560666142683
MTCH2,0.126871294753136,0.144401252117072
RP11_152N13.5,-0.0628106116423385,0.803628588669381
TMX2P1,0.169346409293253,0.387022936626535
MCUR1,0.0592918457748693,0.627698552729938
RP11_229D13.3,-0.350340831914483,0.331033839970953
MRE11A,-0.217326333548742,0.0776851817428326
ATP11B,0.03828786364108,0.795222637267413
CDK16,-0.02525996484773,0.859936796350453
DNAJC19,-0.0491367426013465,0.682937758211294
TBCAP1,-0.0919676273202378,0.722878025717853
METTL3,-0.0809418843948105,0.572464388293748
RP1_30M3.5,-0.385793911878479,0.224439416499125
CCDC82,0.0296308337688441,0.799362145562613
AC008277.1,-0.520260479282631,0.243626528463432
ITGA10,0.0698067724526809,0.817916326914508
GLTSCR1L,-0.168091544346759,0.158543858186875
GS1_124K5.4,-0.0703480493702897,0.82352315839125
ACOT2,-0.257133016589643,0.0809445767007642
CHGB,-0.438857303133487,0.553213163718305
WSCD1,-1.20062950693555,0.124077657450723
BBS2,-0.135731491063485,0.27093503188366
ZFC3H1,-0.106944085737749,0.433939036128606
DIS3L,0.0494990383471711,0.67572780841991
SH3D21,0.398804561287588,0.0912158641320232
HAUS7,-0.204063014806345,0.533917581514402
HNRNPA2B1,-0.170939284498878,0.0480669410126087
SPIN4,0.182089118686739,0.403933812325346
GPS2,0.0493827798535205,0.873123378957848
CKAP2,-0.251219368209322,0.0751670763059277
SCHIP1,-0.0315738787764737,0.906165855482822
PNRC1,-0.113254483425619,0.414078095743972
USP7,-0.023288820218658,0.806257131868919
DRAM2,-0.177986302722105,0.221494275529789
SHISA4,-0.55607412730502,0.21836948328887
FBXO17,-0.0368517812869404,0.844997928388085
FAM103A1,0.148095501317582,0.545830794960318
TSEN15,0.166126240577518,0.24270331716605
ADH5,0.0758812755866875,0.513710194792316
SRA1,0.264090575866873,0.00262787765169984
ACTR2,0.266018013446103,0.0453067896766879
UBIAD1,0.00640788532736961,0.97199208432237
NUDT16L1,0.0424492213234245,0.848383669879571
TXNDC11,0.20300507015812,0.072650401593281
PLOD3,0.120302407726183,0.563180530918008
TAB3,0.0175176298135274,0.891434879882236
TAP2,-0.0966960283071723,0.490335599235786
SLC26A6,-0.286543690003586,0.147814188448887
MTMR1,-0.256575198989055,0.356915071067553
EIF1AD,0.325504462145378,0.00792528966676233
RAB30_AS1,-0.325633956726741,0.074230029387064
SERGEF,-0.0630755646507476,0.702568418915177
ZNF510,-0.103796356438511,0.166958885577073
AC018647.3,-1.20080497227607,0.230639868015728
NUCB2,-0.153263594991333,0.245364683461116
MAP1A,-0.255749923588217,0.533132296366565
SF3B6,0.10640103235418,0.277736240297383
URB1,-0.111621719259022,0.662445000363375
ALG1L6P,-0.177527976637862,0.639366083860726
HNRNPA1P49,-0.252809787668912,0.432023650683742
BTN2A1,0.0534968412177702,0.580286616172335
COL12A1,-0.0764458675672389,0.68751553043357
RP11_309L24.2,-0.228607273161786,0.510301865310087
POSTN,-0.195265469222171,0.775089710818988
STK25,0.0763223357487871,0.541717283821037
BRD4,-0.179070019149691,0.331481527442784
LA16c_431H6.7,-0.1640456983899,0.661535161824516
RP1_140K8.5,0.239360726924588,0.672859628102922
RP11_545I5.3,-0.535761323104293,0.0107069123866047
EIF2AK3,0.101837168545282,0.589503208203406
PPP1R2,0.0480234228342839,0.654928978764124
RP11_351I24.3,0.172375009934535,0.513583442781027
KCTD3,-0.25140010315864,0.0465322053841236
ZNF468,0.214953396575256,0.123691419003835
ARF4,0.396754331981604,0.00146807441453451
ABCA13,-0.545818378208812,0.475065543968579
MTR,0.0362673610482859,0.707535050475856
HMGN1,0.0719881425440003,0.705292624032501
PLEKHA8,0.448762207358627,0.000130327220696983
